Designator,Mid X,Mid Y,Layer,Rotation
D207,70.474999mm,73.67499699999999mm,Top,180.0
D206,65.674999mm,73.67499699999999mm,Top,180.0
D204,60.874999mm,73.67499699999999mm,Top,180.0
D203,56.074999000000005mm,73.67499699999999mm,Top,180.0
D201,46.474999000000004mm,73.67499699999999mm,Top,180.0
D200,41.674999mm,73.67499699999999mm,Top,180.0
D116,47.824999000000005mm,86.474997mm,Top,180.0
D115,43.624999mm,86.474997mm,Top,180.0
D114,47.824999000000005mm,88.274997mm,Top,180.0
D113,43.624999mm,88.274997mm,Top,180.0
D112,47.824999000000005mm,90.074997mm,Top,180.0
D111,43.624999mm,90.074997mm,Top,180.0
D110,47.824999000000005mm,91.874997mm,Top,180.0
D109,43.624999mm,91.874997mm,Top,180.0
D202,51.274999mm,73.67499699999999mm,Top,180.0
C143,74.574999mm,72.774997mm,Top,270.0
C144,75.77499900000001mm,72.774997mm,Top,90.0
C145,76.974999mm,72.774997mm,Top,270.0
C146,78.174999mm,72.774997mm,Top,270.0
C112,47.974999000000004mm,84.774997mm,Top,0.0
C111,41.474999000000004mm,84.874997mm,Top,90.0
C117,74.96249900000001mm,92.074997mm,Bottom,270.0
C105,41.374999mm,97.67499699999999mm,Bottom,180.0
C100,39.224999000000004mm,97.67499699999999mm,Bottom,0.0
C285,46.058099mm,76.874997mm,Bottom,0.0
C280,49.391999mm,76.874997mm,Bottom,180.0
C275,39.757999000000005mm,76.874997mm,Bottom,0.0
C270,43.091999mm,76.874997mm,Bottom,180.0
C229,73.375099mm,69.874997mm,Bottom,270.0
C224,38.574999000000005mm,70.474997mm,Top,90.0
C223,38.574999000000005mm,74.724997mm,Top,90.0
C222,38.574999000000005mm,72.42499699999999mm,Bottom,90.0
C221,73.474999mm,71.774997mm,Top,90.0
C220,56.075099mm,75.974997mm,Bottom,180.0
C230,68.674999mm,73.774997mm,Bottom,270.0
C231,69.875099mm,73.774997mm,Bottom,270.0
C232,71.074999mm,73.774997mm,Bottom,270.0
C225,63.875099000000006mm,73.774997mm,Bottom,270.0
C226,65.074999mm,73.774997mm,Bottom,270.0
C227,66.275099mm,73.774997mm,Bottom,270.0
C228,67.474999mm,73.774997mm,Bottom,270.0
C216,59.074999000000005mm,73.774997mm,Bottom,270.0
C217,60.275099mm,73.774997mm,Bottom,270.0
C218,61.474999000000004mm,73.774997mm,Bottom,270.0
C219,62.675099mm,73.774997mm,Bottom,270.0
C212,54.275099mm,73.774997mm,Bottom,270.0
