Designator,Mid X,Mid Y,Layer,Rotation
D410,105.799999mm,17.816796mm,Bottom,180.0
R411,105.898399mm,20.716796mm,Bottom,270.0
D417,108.548399mm,20.949996mm,Bottom,180.0
C410,113.792999mm,19.009996mm,Bottom,180.0
D412,109.44999899999999mm,21.566796mm,Top,180.0
R410,106.673399mm,21.599996mm,Top,0.0
D413,109.44999899999999mm,19.941796mm,Top,180.0
C411,108.523399mm,19.149996mm,Bottom,0.0
R413,108.523399mm,17.616796mm,Bottom,0.0
D414,105.999999mm,19.149996mm,Bottom,0.0
D418,109.72999899999999mm,13.949996mm,Top,0.0
D416,114.601599mm,18.043696mm,Top,180.0
U410,114.198399mm,20.649996mm,Top,180.0
C412,113.792999mm,21.049996mm,Bottom,180.0
C413,111.823399mm,20.212896mm,Top,90.0
D411,106.148399mm,19.141496mm,Top,0.0
U420,107.063399mm,10.041796mm,Bottom,180.0
R420,111.17339899999999mm,18.466896mm,Bottom,90.0
C429,109.35839899999999mm,5.449996mm,Bottom,0.0
C427,110.07969899999999mm,18.651896mm,Bottom,270.0
C428,107.169299mm,5.449996mm,Bottom,180.0
C423,107.996599mm,15.541796mm,Bottom,90.0
C421,109.188199mm,15.541796mm,Bottom,90.0
C422,110.379699mm,15.541796mm,Bottom,90.0
C424,106.799999mm,15.541796mm,Bottom,270.0
R421,110.554699mm,13.779996mm,Bottom,0.0
R423,107.26929899999999mm,4.449996mm,Bottom,180.0
D420,108.799999mm,3.4499959999999996mm,Top,0.0
C420,105.749999mm,15.949996mm,Bottom,270.0
L420,113.69999899999999mm,15.849996mm,Bottom,180.0
D421,114.049999mm,5.489196mm,Top,270.0
L421,108.299999mm,8.049996mm,Top,0.0
C821_2,127.53500799999999mm,35.935mm,Bottom,180.0
C822_2,127.53500799999999mm,37.735mm,Bottom,180.0
C823_2,127.53500799999999mm,39.535000000000004mm,Bottom,180.0
C824_2,127.53500799999999mm,41.335mm,Bottom,180.0
C825_2,127.53500799999999mm,43.135000000000005mm,Bottom,180.0
C826_2,131.335008mm,35.935mm,Bottom,0.0
C827_2,131.335008mm,37.735mm,Bottom,0.0
C828_2,131.335008mm,39.535000000000004mm,Bottom,0.0
C829_2,131.335008mm,41.335mm,Bottom,0.0
C830_2,131.335008mm,43.135000000000005mm,Bottom,0.0
C831_2,123.035mm,37.235mm,Bottom,270.0
C832_2,124.535mm,37.235mm,Bottom,270.0
C833_2,134.235008mm,36.71mm,Bottom,270.0
R821_2,124.535mm,40.235mm,Bottom,90.0
R822_2,124.535mm,43.235mm,Bottom,270.0
U821_2,129.43500799999998mm,39.535000000000004mm,Top,0.0
C474_2,106.6486mm,55.259994mm,Bottom,270.0
R470_2,102.99499999999999mm,54.344994mm,Bottom,180.0
U471_2,108.03mm,55.291993999999995mm,Top,180.0
R474_2,108.895mm,55.259594mm,Bottom,180.0
R473_2,107.63539999999999mm,54.794993999999996mm,Bottom,270.0
R472_2,105.11999999999999mm,54.344994mm,Bottom,180.0
C473_2,108.99499999999999mm,56.244994mm,Bottom,180.0
C472_2,108.99499999999999mm,54.394994mm,Bottom,0.0
U470_2,104.05499999999999mm,55.291993999999995mm,Top,180.0
R471_2,102.99499999999999mm,55.244994mm,Bottom,0.0
C471_2,103.045mm,56.244994mm,Bottom,0.0
C470_2,105.17mm,56.244994mm,Bottom,180.0
D415_2,135.550001mm,20.249996mm,Bottom,270.0
R428_2,136.534401mm,6.804496mm,Bottom,90.0
R427_2,123.400001mm,5.449996mm,Bottom,0.0
R426_2,134.925801mm,5.809896mm,Top,270.0
R425_2,133.617701mm,12.924996mm,Top,90.0
R424_2,133.617701mm,15.222096mm,Top,270.0
LED4_2,121.858101mm,4.561096mm,Top,270.0
LED3_2,134.925801mm,7.959196mm,Top,90.0
LED2_2,134.699101mm,12.949996mm,Top,90.0
LED1_2,134.699101mm,15.197096mm,Top,270.0
R422_2,127.70840100000001mm,4.449996mm,Bottom,180.0
C426_2,133.940001mm,9.849996mm,Top,0.0
C425_2,131.250001mm,9.849996mm,Top,180.0
F410_2,128.407001mm,18.116796mm,Top,0.0
C415_2,133.57340100000002mm,4.149996mm,Bottom,0.0
C414_2,132.598401mm,13.659996mm,Bottom,180.0
U411_2,131.172201mm,8.799996mm,Bottom,90.0
D410_2,124.05000100000001mm,17.816796mm,Bottom,180.0
R411_2,124.148401mm,20.716796mm,Bottom,270.0
D417_2,126.79840100000001mm,20.949996mm,Bottom,180.0
C410_2,132.043001mm,19.009996mm,Bottom,180.0
D412_2,127.700001mm,21.566796mm,Top,180.0
R410_2,124.92340100000001mm,21.599996mm,Top,0.0
D413_2,127.700001mm,19.941796mm,Top,180.0
C411_2,126.773401mm,19.149996mm,Bottom,0.0
R413_2,126.773401mm,17.616796mm,Bottom,0.0
D414_2,124.25000100000001mm,19.149996mm,Bottom,0.0
D418_2,127.980001mm,13.949996mm,Top,0.0
D416_2,132.85160100000002mm,18.043696mm,Top,180.0
U410_2,132.44840100000002mm,20.649996mm,Top,180.0
C412_2,132.043001mm,21.049996mm,Bottom,180.0
C413_2,130.07340100000002mm,20.212896mm,Top,90.0
D411_2,124.398401mm,19.141496mm,Top,0.0
U420_2,125.313401mm,10.041796mm,Bottom,180.0
R420_2,129.423401mm,18.466896mm,Bottom,90.0
C429_2,127.608401mm,5.449996mm,Bottom,0.0
C427_2,128.329701mm,18.651896mm,Bottom,270.0
C428_2,125.419301mm,5.449996mm,Bottom,180.0
C423_2,126.24660100000001mm,15.541796mm,Bottom,90.0
C421_2,127.438201mm,15.541796mm,Bottom,90.0
C422_2,128.629701mm,15.541796mm,Bottom,90.0
C424_2,125.05000100000001mm,15.541796mm,Bottom,270.0
R421_2,128.804701mm,13.779996mm,Bottom,0.0
R423_2,125.51930100000001mm,4.449996mm,Bottom,180.0
D420_2,127.05000100000001mm,3.4499959999999996mm,Top,0.0
C420_2,124.00000100000001mm,15.949996mm,Bottom,270.0
L420_2,131.95000100000001mm,15.849996mm,Bottom,180.0
D421_2,132.300001mm,5.489196mm,Top,270.0
L421_2,126.55000100000001mm,8.049996mm,Top,0.0
